stage_id,sample_id,input_sequence,predicted_sequence,is_exact_match,margin,memory_layer,conflict_flag,vector_dimension
stage1_dim1024,0,EUZ,EUZ,True,1.0000,S,False,1024
stage1_dim1024,1,TMLRN,TMLRN,True,1.0000,S,False,1024
stage1_dim1024,2,ZLXC,ZLXC,True,1.0000,S,False,1024
stage1_dim1024,3,SVHRF,SVHRF,True,1.0000,S,False,1024
stage1_dim1024,4,JN,JN,True,1.0000,S,False,1024
stage1_dim1024,5,AKP,AKP,True,1.0000,S,False,1024
stage1_dim1024,6,EX,EX,True,1.0000,S,False,1024
stage1_dim1024,7,KRDJM,KRDJM,True,1.0000,S,False,1024
stage1_dim1024,8,DSXY,DSXY,True,1.0000,S,False,1024
stage1_dim1024,9,SG,SG,True,1.0000,S,False,1024
stage1_dim1024,10,QX,QX,True,1.0000,S,False,1024
stage1_dim1024,11,IGWJX,IGWJX,True,1.0000,S,False,1024
stage1_dim1024,12,RGEXD,RGEXD,True,1.0000,S,False,1024
stage1_dim1024,13,JI,JI,True,1.0000,S,False,1024
stage1_dim1024,14,GU,GU,True,1.0000,S,False,1024
stage1_dim1024,15,ZXJQ,ZXJQ,True,1.0000,S,False,1024
stage1_dim1024,16,XE,EX,False,1.0000,S,False,1024
stage1_dim1024,17,WH,WH,True,1.0000,S,False,1024
stage1_dim1024,18,PKWB,PKWB,True,1.0000,S,False,1024
stage1_dim1024,19,YEY,YEY,True,1.0000,S,False,1024
stage1_dim1024,20,PZM,PZM,True,1.0000,S,False,1024
stage1_dim1024,21,QFC,QFC,True,1.0000,S,False,1024
stage1_dim1024,22,HGPXH,HGPXH,True,1.0000,S,False,1024
stage1_dim1024,23,JIEY,JIEY,True,1.0000,S,False,1024
stage1_dim1024,24,GXNBK,GXNBK,True,1.0000,S,False,1024
stage1_dim1024,25,PFHR,PFHR,True,1.0000,S,False,1024
stage1_dim1024,26,NYQP,NYQP,True,1.0000,S,False,1024
stage1_dim1024,27,DNEFK,DNEFK,True,1.0000,S,False,1024
stage1_dim1024,28,UK,UK,True,1.0000,S,False,1024
stage1_dim1024,29,HRNPI,HRNPI,True,1.0000,S,False,1024
stage1_dim1024,30,BQTFL,BQTFL,True,1.0000,S,False,1024
stage1_dim1024,31,MKSWW,MKSWW,True,1.0000,S,False,1024
stage1_dim1024,32,XK,XK,True,1.0000,S,False,1024
stage1_dim1024,33,FJB,FJB,True,1.0000,S,False,1024
stage1_dim1024,34,MELV,MELV,True,1.0000,S,False,1024
stage1_dim1024,35,BETBU,BETBU,True,1.0000,S,False,1024
stage1_dim1024,36,FOR,FOR,True,1.0000,S,False,1024
stage1_dim1024,37,VSG,VSG,True,1.0000,S,False,1024
