stage_id,sample_id,input_sequence,predicted_sequence,is_exact_match,margin,memory_layer,conflict_flag,vector_dimension
stage2_hetero_dim1024,0,Nfyd,Nfyd,True,1.0000,D,False,1024
stage2_hetero_dim1024,1,G#,G#,True,1.0000,D,False,1024
stage2_hetero_dim1024,2,%T,%T,True,1.0000,D,False,1024
stage2_hetero_dim1024,3,qUs,qUs,True,1.0000,D,False,1024
stage2_hetero_dim1024,4,!&,!&,True,1.0000,D,False,1024
stage2_hetero_dim1024,5,456a,456a,True,1.0000,D,False,1024
stage2_hetero_dim1024,6,Ic,Ic,True,1.0000,D,False,1024
stage2_hetero_dim1024,7,n5A,n5A,True,1.0000,D,False,1024
stage2_hetero_dim1024,8,@Uf,@Uf,True,1.0000,D,False,1024
stage2_hetero_dim1024,9,1#,1#,True,1.0000,D,False,1024
stage2_hetero_dim1024,10,lOz1,lOz1,True,1.0000,D,False,1024
stage2_hetero_dim1024,11,eKY#,eKY#,True,1.0000,D,False,1024
stage2_hetero_dim1024,12,X7Aq,X7Aq,True,1.0000,D,False,1024
stage2_hetero_dim1024,13,&dHe,&dHe,True,1.0000,D,False,1024
stage2_hetero_dim1024,14,UXhC,UXhC,True,1.0000,D,False,1024
stage2_hetero_dim1024,15,i@r,i@r,True,1.0000,D,False,1024
stage2_hetero_dim1024,16,okR,okR,True,1.0000,D,False,1024
stage2_hetero_dim1024,17,pH,pH,True,1.0000,D,False,1024
stage2_hetero_dim1024,18,!Y@F,!Y@F,True,1.0000,D,False,1024
stage2_hetero_dim1024,19,$b^,$b^,True,1.0000,D,False,1024
stage2_hetero_dim1024,20,8B7%,8B7%,True,1.0000,D,False,1024
stage2_hetero_dim1024,21,!jTY,!jTY,True,1.0000,D,False,1024
stage2_hetero_dim1024,22,pQsh,pQsh,True,1.0000,D,False,1024
stage2_hetero_dim1024,23,bz*x,bz*x,True,1.0000,D,False,1024
stage2_hetero_dim1024,24,OQ,OQ,True,1.0000,D,False,1024
stage2_hetero_dim1024,25,!c,!c,True,1.0000,D,False,1024
stage2_hetero_dim1024,26,hIz,hIz,True,1.0000,D,False,1024
stage2_hetero_dim1024,27,*p*T,*p*T,True,1.0000,D,False,1024
stage2_hetero_dim1024,28,iCbP,iCbP,True,1.0000,D,False,1024
stage2_hetero_dim1024,29,n7,n7,True,1.0000,D,False,1024
stage2_hetero_dim1024,30,iQ9#,iQ9#,True,1.0000,D,False,1024
stage2_hetero_dim1024,31,Uu,Uu,True,1.0000,D,False,1024
stage2_hetero_dim1024,32,WaZ,WaZ,True,1.0000,D,False,1024
stage2_hetero_dim1024,33,TbI,TbI,True,1.0000,D,False,1024
stage2_hetero_dim1024,34,SsBi,SsBi,True,1.0000,D,False,1024
stage2_hetero_dim1024,35,TRX,TRX,True,1.0000,D,False,1024
stage2_hetero_dim1024,36,*i4,*i4,True,1.0000,D,False,1024
stage2_hetero_dim1024,37,KWW,KWW,True,1.0000,D,False,1024
stage2_hetero_dim1024,38,HuM,HuM,True,1.0000,D,False,1024
stage2_hetero_dim1024,39,w@,w@,True,1.0000,D,False,1024
stage2_hetero_dim1024,40,v0QN,v0QN,True,1.0000,D,False,1024
stage2_hetero_dim1024,41,Rr,Rr,True,1.0000,D,False,1024
stage2_hetero_dim1024,42,26sE,26sE,True,1.0000,D,False,1024
stage2_hetero_dim1024,43,D!e,D!e,True,1.0000,D,False,1024
stage2_hetero_dim1024,44,M$,M$,True,1.0000,D,False,1024
stage2_hetero_dim1024,45,3OI,3OI,True,1.0000,D,False,1024
stage2_hetero_dim1024,46,!iic,!iic,True,1.0000,D,False,1024
stage2_hetero_dim1024,47,P8pc,P8pc,True,1.0000,D,False,1024
stage2_hetero_dim1024,48,US,US,True,1.0000,S,False,1024
stage2_hetero_dim1024,49,28Z,28Z,True,1.0000,D,False,1024
stage2_hetero_dim1024,50,v&n,v&n,True,1.0000,D,False,1024
stage2_hetero_dim1024,51,lu,lu,True,1.0000,D,False,1024
stage2_hetero_dim1024,52,X%,X%,True,1.0000,D,False,1024
stage2_hetero_dim1024,53,nplA,nplA,True,1.0000,D,False,1024
stage2_hetero_dim1024,54,pV,pV,True,1.0000,D,False,1024
stage2_hetero_dim1024,55,9evj,9evj,True,1.0000,D,False,1024
stage2_hetero_dim1024,56,TI,TI,True,1.0000,S,False,1024
stage2_hetero_dim1024,57,1R,1R,True,1.0000,D,False,1024
stage2_hetero_dim1024,58,ibMK,ibMK,True,1.0000,D,False,1024
stage2_hetero_dim1024,59,K*L,K*L,True,1.0000,D,False,1024
stage2_hetero_dim1024,60,ylZ9,ylZ9,True,1.0000,D,False,1024
stage2_hetero_dim1024,61,C3hv,C3hv,True,1.0000,D,False,1024
stage2_hetero_dim1024,62,bg1,bg1,True,1.0000,D,False,1024
stage2_hetero_dim1024,63,En,En,True,1.0000,D,False,1024
stage2_hetero_dim1024,64,QcmC,QcmC,True,1.0000,D,False,1024
stage2_hetero_dim1024,65,Moj,Moj,True,1.0000,D,False,1024
stage2_hetero_dim1024,66,Kl6,Kl6,True,1.0000,D,False,1024
stage2_hetero_dim1024,67,TKyc,TKyc,True,1.0000,D,False,1024
stage2_hetero_dim1024,68,A8N^,A8N^,True,1.0000,D,False,1024
stage2_hetero_dim1024,69,u8t,u8t,True,1.0000,D,False,1024
stage2_hetero_dim1024,70,R8#O,R8#O,True,1.0000,D,False,1024
stage2_hetero_dim1024,71,rR,Rr,False,1.0000,D,False,1024
stage2_hetero_dim1024,72,dT8,dT8,True,1.0000,D,False,1024
