stage_id,sample_id,input_sequence,predicted_sequence,is_exact_match,margin,memory_layer,conflict_flag,vector_dimension
stage3_kanji_dim1024,0,一,一,True,1.0000,S,False,1024
stage3_kanji_dim1024,1,二,二,True,1.0000,S,False,1024
stage3_kanji_dim1024,2,三,三,True,1.0000,S,False,1024
stage3_kanji_dim1024,3,人,人,True,1.0000,S,False,1024
stage3_kanji_dim1024,4,口,口,True,1.0000,S,False,1024
stage3_kanji_dim1024,5,日,日,True,1.0000,S,False,1024
stage3_kanji_dim1024,6,月,月,True,1.0000,S,False,1024
stage3_kanji_dim1024,7,木,木,True,1.0000,S,False,1024
stage3_kanji_dim1024,8,山,山,True,1.0000,S,False,1024
stage3_kanji_dim1024,9,川,川,True,1.0000,S,False,1024
stage3_kanji_dim1024,10,林,林,True,1.0000,S,False,1024
stage3_kanji_dim1024,11,森,森,True,1.0000,S,False,1024
stage3_kanji_dim1024,12,明,明,True,1.0000,S,False,1024
stage3_kanji_dim1024,13,休,休,True,1.0000,S,False,1024
stage3_kanji_dim1024,14,好,好,True,1.0000,S,False,1024
stage3_kanji_dim1024,15,男,男,True,1.0000,S,False,1024
stage3_kanji_dim1024,16,信,信,True,1.0000,S,False,1024
stage3_kanji_dim1024,17,体,体,True,1.0000,S,False,1024
stage3_kanji_dim1024,18,先,先,True,1.0000,S,False,1024
stage3_kanji_dim1024,19,見,見,True,1.0000,S,False,1024
stage3_kanji_dim1024,20,学,学,True,1.0000,S,False,1024
stage3_kanji_dim1024,21,花,花,True,1.0000,S,False,1024
stage3_kanji_dim1024,22,音,音,True,1.0000,S,False,1024
stage3_kanji_dim1024,23,書,書,True,1.0000,S,False,1024
stage3_kanji_dim1024,24,話,話,True,1.0000,S,False,1024
stage3_kanji_dim1024,25,議,議,True,1.0000,S,False,1024
stage3_kanji_dim1024,26,識,識,True,1.0000,S,False,1024
stage3_kanji_dim1024,27,験,験,True,1.0000,S,False,1024
stage3_kanji_dim1024,28,競,競,True,1.0000,S,False,1024
stage3_kanji_dim1024,29,驚,驚,True,1.0000,S,False,1024
stage3_kanji_dim1024,30,観,観,True,1.0000,S,False,1024
stage3_kanji_dim1024,31,類,類,True,1.0000,S,False,1024
stage3_kanji_dim1024,32,複,複,True,1.0000,S,False,1024
stage3_kanji_dim1024,33,額,額,True,1.0000,S,False,1024
stage3_kanji_dim1024,34,龍,龍,True,1.0000,S,False,1024
