stage_id,sample_id,input_sequence,predicted_sequence,is_exact_match,margin,memory_layer,conflict_flag,vector_dimension
stage3_katakana_dim2048,0,ア,ア,True,1.0000,S,False,2048
stage3_katakana_dim2048,1,イ,イ,True,1.0000,S,False,2048
stage3_katakana_dim2048,2,ウ,ウ,True,1.0000,S,False,2048
stage3_katakana_dim2048,3,エ,エ,True,1.0000,S,False,2048
stage3_katakana_dim2048,4,オ,オ,True,1.0000,S,False,2048
stage3_katakana_dim2048,5,カ,カ,True,1.0000,S,False,2048
stage3_katakana_dim2048,6,キ,キ,True,1.0000,S,False,2048
stage3_katakana_dim2048,7,ク,ク,True,1.0000,S,False,2048
stage3_katakana_dim2048,8,ケ,ケ,True,1.0000,S,False,2048
stage3_katakana_dim2048,9,コ,コ,True,1.0000,S,False,2048
stage3_katakana_dim2048,10,サ,サ,True,1.0000,S,False,2048
stage3_katakana_dim2048,11,シ,シ,True,1.0000,S,False,2048
stage3_katakana_dim2048,12,ス,ス,True,1.0000,S,False,2048
stage3_katakana_dim2048,13,セ,セ,True,1.0000,S,False,2048
stage3_katakana_dim2048,14,ソ,ソ,True,1.0000,S,False,2048
stage3_katakana_dim2048,15,タ,タ,True,1.0000,S,False,2048
stage3_katakana_dim2048,16,チ,チ,True,1.0000,S,False,2048
stage3_katakana_dim2048,17,ツ,ツ,True,1.0000,S,False,2048
stage3_katakana_dim2048,18,テ,テ,True,1.0000,S,False,2048
stage3_katakana_dim2048,19,ト,ト,True,1.0000,S,False,2048
stage3_katakana_dim2048,20,ナ,ナ,True,1.0000,S,False,2048
stage3_katakana_dim2048,21,ニ,ニ,True,1.0000,S,False,2048
stage3_katakana_dim2048,22,ヌ,ヌ,True,1.0000,S,False,2048
stage3_katakana_dim2048,23,ネ,ネ,True,1.0000,S,False,2048
stage3_katakana_dim2048,24,ノ,ノ,True,1.0000,S,False,2048
stage3_katakana_dim2048,25,ハ,ハ,True,1.0000,S,False,2048
stage3_katakana_dim2048,26,ヒ,ヒ,True,1.0000,S,False,2048
stage3_katakana_dim2048,27,フ,フ,True,1.0000,S,False,2048
stage3_katakana_dim2048,28,ヘ,ヘ,True,1.0000,S,False,2048
stage3_katakana_dim2048,29,ホ,ホ,True,1.0000,S,False,2048
stage3_katakana_dim2048,30,マ,マ,True,1.0000,S,False,2048
stage3_katakana_dim2048,31,ミ,ミ,True,1.0000,S,False,2048
stage3_katakana_dim2048,32,ム,ム,True,1.0000,S,False,2048
stage3_katakana_dim2048,33,メ,メ,True,1.0000,S,False,2048
stage3_katakana_dim2048,34,モ,モ,True,1.0000,S,False,2048
stage3_katakana_dim2048,35,ヤ,ヤ,True,1.0000,S,False,2048
stage3_katakana_dim2048,36,ユ,ユ,True,1.0000,S,False,2048
stage3_katakana_dim2048,37,ヨ,ヨ,True,1.0000,S,False,2048
stage3_katakana_dim2048,38,ラ,ラ,True,1.0000,S,False,2048
stage3_katakana_dim2048,39,リ,リ,True,1.0000,S,False,2048
stage3_katakana_dim2048,40,ル,ル,True,1.0000,S,False,2048
stage3_katakana_dim2048,41,レ,レ,True,1.0000,S,False,2048
stage3_katakana_dim2048,42,ロ,ロ,True,1.0000,S,False,2048
stage3_katakana_dim2048,43,ワ,ワ,True,1.0000,S,False,2048
stage3_katakana_dim2048,44,ヲ,ヲ,True,1.0000,S,False,2048
stage3_katakana_dim2048,45,ン,ン,True,1.0000,S,False,2048
