symbol,mode,status,top1,score1,top2,score2,margin,final_norm,flags,timestamp
0,ddim,SUCCESS,0,1.0000,6,0.0391,0.9609,1.000000,,20260104_174616
1,ddim,SUCCESS,1,1.0000,3,0.1427,0.8573,1.000000,,20260104_174616
2,ddim,SUCCESS,2,1.0000,4,0.0786,0.9214,1.000000,,20260104_174616
3,ddim,SUCCESS,3,1.0000,1,0.1427,0.8573,1.000000,,20260104_174616
4,ddim,SUCCESS,4,1.0000,2,0.0786,0.9214,1.000000,,20260104_174616
5,ddim,SUCCESS,5,1.0000,3,0.0511,0.9489,1.000000,,20260104_174616
6,ddim,SUCCESS,6,1.0000,1,0.0714,0.9286,1.000000,,20260104_174616
7,ddim,SUCCESS,7,1.0000,3,0.0545,0.9455,1.000000,,20260104_174616
8,ddim,SUCCESS,8,1.0000,9,0.1691,0.8309,1.000000,,20260104_174616
9,ddim,SUCCESS,9,1.0000,8,0.1691,0.8309,1.000000,,20260104_174616
