char,status,top1,score1,top2,score2,margin,final_norm,flags,timestamp
ア,SUCCESS,ア,1.0000,イ,0.1997,0.8003,1.000000,,20260105_171907
イ,SUCCESS,イ,1.0000,キ,0.2034,0.7966,1.000000,,20260105_171907
ウ,SUCCESS,ウ,1.0000,ヨ,0.1674,0.8326,1.000000,,20260105_171907
エ,SUCCESS,エ,1.0000,ケ,0.1585,0.8415,1.000000,,20260105_171907
オ,SUCCESS,オ,1.0000,コ,0.1979,0.8021,1.000000,,20260105_171907
カ,SUCCESS,カ,1.0000,ヤ,0.1633,0.8367,1.000000,,20260105_171907
キ,SUCCESS,キ,1.0000,イ,0.2034,0.7966,1.000000,,20260105_171907
ク,SUCCESS,ク,1.0000,ン,0.1382,0.8618,1.000000,,20260105_171907
ケ,SUCCESS,ケ,1.0000,エ,0.1585,0.8415,1.000000,,20260105_171907
コ,SUCCESS,コ,1.0000,オ,0.1979,0.8021,1.000000,,20260105_171907
サ,SUCCESS,サ,1.0000,ニ,0.1604,0.8396,1.000000,,20260105_171907
シ,SUCCESS,シ,1.0000,リ,0.1922,0.8078,1.000000,,20260105_171907
ス,SUCCESS,ス,1.0000,チ,0.1418,0.8582,1.000000,,20260105_171907
セ,SUCCESS,セ,1.0000,ネ,0.1335,0.8665,1.000000,,20260105_171907
ソ,SUCCESS,ソ,1.0000,ヲ,0.1175,0.8825,1.000000,,20260105_171907
タ,SUCCESS,タ,1.0000,イ,0.1292,0.8708,1.000000,,20260105_171907
チ,SUCCESS,チ,1.0000,ロ,0.1437,0.8563,1.000000,,20260105_171907
ツ,SUCCESS,ツ,1.0000,ハ,0.1743,0.8257,1.000000,,20260105_171907
テ,SUCCESS,テ,1.0000,コ,0.1175,0.8825,1.000000,,20260105_171907
ト,SUCCESS,ト,1.0000,イ,0.1793,0.8207,1.000000,,20260105_171907
ナ,SUCCESS,ナ,1.0000,ニ,0.1661,0.8339,1.000000,,20260105_171907
ニ,SUCCESS,ニ,1.0000,ミ,0.2217,0.7783,1.000000,,20260105_171907
ヌ,SUCCESS,ヌ,1.0000,サ,0.1335,0.8665,1.000000,,20260105_171907
ネ,SUCCESS,ネ,1.0000,ホ,0.1515,0.8485,1.000000,,20260105_171907
ノ,SUCCESS,ノ,1.0000,ヤ,0.1358,0.8642,1.000000,,20260105_171907
ハ,SUCCESS,ハ,1.0000,ル,0.1977,0.8023,1.000000,,20260105_171907
ヒ,SUCCESS,ヒ,1.0000,ム,0.1480,0.8520,1.000000,,20260105_171907
フ,SUCCESS,フ,1.0000,ラ,0.1662,0.8338,1.000000,,20260105_171907
ヘ,SUCCESS,ヘ,1.0000,レ,0.1801,0.8199,1.000000,,20260105_171907
ホ,SUCCESS,ホ,1.0000,ネ,0.1515,0.8485,1.000000,,20260105_171907
マ,SUCCESS,マ,1.0000,ラ,0.1731,0.8269,1.000000,,20260105_171907
ミ,SUCCESS,ミ,1.0000,ニ,0.2217,0.7783,1.000000,,20260105_171907
ム,SUCCESS,ム,1.0000,ヒ,0.1480,0.8520,1.000000,,20260105_171907
メ,SUCCESS,メ,1.0000,ヘ,0.1154,0.8846,1.000000,,20260105_171907
モ,SUCCESS,モ,1.0000,マ,0.1356,0.8644,1.000000,,20260105_171907
ヤ,SUCCESS,ヤ,1.0000,ハ,0.1726,0.8274,1.000000,,20260105_171907
ユ,SUCCESS,ユ,1.0000,ラ,0.1417,0.8583,1.000000,,20260105_171907
ヨ,SUCCESS,ヨ,1.0000,ウ,0.1674,0.8326,1.000000,,20260105_171907
ラ,SUCCESS,ラ,1.0000,マ,0.1731,0.8269,1.000000,,20260105_171907
リ,SUCCESS,リ,1.0000,シ,0.1922,0.8078,1.000000,,20260105_171907
ル,SUCCESS,ル,1.0000,ハ,0.1977,0.8023,1.000000,,20260105_171907
レ,SUCCESS,レ,1.0000,ヘ,0.1801,0.8199,1.000000,,20260105_171907
ロ,SUCCESS,ロ,1.0000,ヲ,0.1894,0.8106,1.000000,,20260105_171907
ワ,SUCCESS,ワ,1.0000,タ,0.1274,0.8726,1.000000,,20260105_171907
ヲ,SUCCESS,ヲ,1.0000,ロ,0.1894,0.8106,1.000000,,20260105_171907
ン,SUCCESS,ン,1.0000,ト,0.1503,0.8497,1.000000,,20260105_171907
