phase_S,query_id,target_id,group_a,group_b,expected_match,metric_val_S,metric_name_S,pass_S,phase_P,metric_val_P,metric_name_P,pass_P,verdict
S,T1_01,T1_01,GRP_ADD,GRP_ADD,True,-2.220446049250313e-16,cosine_dist,True,P,1.0000000000000002,resonance,True,PASS
S,T1_01,T1_02,GRP_ADD,GRP_ADD,True,-2.220446049250313e-16,cosine_dist,True,P,1.0000000000000002,resonance,True,PASS
S,T1_01,T1_03,GRP_ADD,GRP_ADD,True,-2.220446049250313e-16,cosine_dist,True,P,1.0000000000000002,resonance,True,PASS
S,T1_01,T1_04,GRP_ADD,GRP_CMP,False,0.23809617360016155,cosine_dist,True,P,0.7619038263998386,resonance,False,PARTIAL (Semantic-Only)
S,T1_01,T2_01,GRP_ADD,GRP_COND,False,0.540602696992283,cosine_dist,True,P,0.459397303007717,resonance,True,PASS
S,T1_01,T2_02,GRP_ADD,GRP_COND,False,1.0392930872558417,cosine_dist,True,P,0.03929308725584174,resonance,True,PASS
S,T1_01,T3_01,GRP_ADD,GRP_COND_DIFF,False,0.540602696992283,cosine_dist,True,P,0.459397303007717,resonance,True,PASS
S,T1_01,T4_01,GRP_ADD,GRP_ASSIGN,False,0.11767727595950905,cosine_dist,True,P,0.8823227240404911,resonance,False,PARTIAL (Semantic-Only)
S,T1_01,T4_02,GRP_ADD,GRP_MUL,False,0.11767727595950905,cosine_dist,True,P,0.8823227240404911,resonance,False,PARTIAL (Semantic-Only)
S,T1_02,T1_02,GRP_ADD,GRP_ADD,True,-2.220446049250313e-16,cosine_dist,True,P,1.0000000000000002,resonance,True,PASS
S,T1_02,T1_03,GRP_ADD,GRP_ADD,True,-2.220446049250313e-16,cosine_dist,True,P,1.0000000000000002,resonance,True,PASS
S,T1_02,T1_04,GRP_ADD,GRP_CMP,False,0.23809617360016155,cosine_dist,True,P,0.7619038263998386,resonance,False,PARTIAL (Semantic-Only)
S,T1_02,T2_01,GRP_ADD,GRP_COND,False,0.540602696992283,cosine_dist,True,P,0.459397303007717,resonance,True,PASS
S,T1_02,T2_02,GRP_ADD,GRP_COND,False,1.0392930872558417,cosine_dist,True,P,0.03929308725584174,resonance,True,PASS
S,T1_02,T3_01,GRP_ADD,GRP_COND_DIFF,False,0.540602696992283,cosine_dist,True,P,0.459397303007717,resonance,True,PASS
S,T1_02,T4_01,GRP_ADD,GRP_ASSIGN,False,0.11767727595950905,cosine_dist,True,P,0.8823227240404911,resonance,False,PARTIAL (Semantic-Only)
S,T1_02,T4_02,GRP_ADD,GRP_MUL,False,0.11767727595950905,cosine_dist,True,P,0.8823227240404911,resonance,False,PARTIAL (Semantic-Only)
S,T1_03,T1_03,GRP_ADD,GRP_ADD,True,-2.220446049250313e-16,cosine_dist,True,P,1.0000000000000002,resonance,True,PASS
