test,input,variant,target,resonance,judgment
C1-1:Consistency,A,"Noise:0.05,Rot:0",A,0.9648773074150085,PASS
C1-1:Consistency,A,"Noise:0.00,Rot:10",A,0.7993955016136169,PASS
C1-1:Consistency,A,"Noise:0.10,Rot:-5",A,0.8683159351348877,PASS
C1-1:Consistency,B,"Noise:0.05,Rot:0",B,0.9791494607925415,PASS
C1-1:Consistency,B,"Noise:0.00,Rot:10",B,0.8956383466720581,PASS
C1-1:Consistency,B,"Noise:0.10,Rot:-5",B,0.9198946356773376,PASS
C1-1:Consistency,5,"Noise:0.05,Rot:0",5,0.9635141491889954,PASS
C1-1:Consistency,5,"Noise:0.00,Rot:10",5,0.8960461616516113,PASS
C1-1:Consistency,5,"Noise:0.10,Rot:-5",5,0.9014050364494324,PASS
C1-2:Discrimination,0,Clean,O,0.3665993809700012,PASS
C1-2:Discrimination,l,Clean,1,0.8189302086830139,FAIL
C1-2:Discrimination,Q,Clean,O,0.9030919075012207,FAIL
C1-3:Robustness,X,Noise:0.00,X,1.0000007152557373,INFO
C1-3:Robustness,X,Noise:0.20,X,0.8323222994804382,INFO
C1-3:Robustness,X,Noise:0.40,X,0.6393215656280518,INFO
C1-3:Robustness,X,Noise:0.60,X,0.47727546095848083,INFO
C1-3:Robustness,X,Noise:0.80,X,0.35764437913894653,INFO
C1-3:Robustness,X,Noise:1.00,X,0.2716303765773773,INFO
