input_char,level,decision,top1_char,score1,top2_char,score2,margin,final_norm,timestamp
一,A,REJECT,一,1.0000,二,1.0000,0.0000,1.000000,20260105_173845
二,A,REJECT,一,1.0000,二,1.0000,0.0000,1.000000,20260105_173845
三,A,REJECT,一,1.0000,二,1.0000,0.0000,1.000000,20260105_173845
人,A,ACCEPT,人,1.0000,日,0.1432,0.8568,1.000000,20260105_173845
口,A,ACCEPT,口,1.0000,一,0.1604,0.8396,1.000000,20260105_173845
日,A,ACCEPT,日,1.0000,人,0.1432,0.8568,1.000000,20260105_173845
月,A,ACCEPT,月,1.0000,議,0.0908,0.9092,1.000000,20260105_173845
木,A,ACCEPT,木,1.0000,驚,0.0948,0.9052,1.000000,20260105_173845
山,A,ACCEPT,山,1.0000,見,0.1243,0.8757,1.000000,20260105_173845
川,A,ACCEPT,川,1.0000,山,0.0971,0.9029,1.000000,20260105_173845
林,B,ACCEPT,林,1.0000,花,0.1302,0.8698,1.000000,20260105_173845
森,B,ACCEPT,森,1.0000,明,0.1097,0.8903,1.000000,20260105_173845
明,B,ACCEPT,明,1.0000,音,0.1429,0.8571,1.000000,20260105_173845
休,B,REJECT,休,1.0000,信,1.0000,0.0000,1.000000,20260105_173845
好,B,ACCEPT,好,1.0000,書,0.1481,0.8519,1.000000,20260105_173845
男,B,ACCEPT,男,1.0000,花,0.1853,0.8147,1.000000,20260105_173845
信,B,REJECT,休,1.0000,信,1.0000,0.0000,1.000000,20260105_173845
体,B,REJECT,休,1.0000,信,1.0000,0.0000,1.000000,20260105_173845
先,B,ACCEPT,先,1.0000,話,0.1022,0.8978,1.000000,20260105_173845
見,B,ACCEPT,見,1.0000,山,0.1243,0.8757,1.000000,20260105_173845
学,B,ACCEPT,学,1.0000,森,0.0923,0.9077,1.000000,20260105_173845
花,B,ACCEPT,花,1.0000,男,0.1853,0.8147,1.000000,20260105_173845
音,B,ACCEPT,音,1.0000,書,0.1720,0.8280,1.000000,20260105_173845
書,B,ACCEPT,書,1.0000,音,0.1720,0.8280,1.000000,20260105_173845
話,B,ACCEPT,話,1.0000,花,0.1297,0.8703,1.000000,20260105_173845
議,C,REJECT,議,1.0000,識,1.0000,0.0000,1.000000,20260105_173845
識,C,REJECT,議,1.0000,識,1.0000,0.0000,1.000000,20260105_173845
験,C,ACCEPT,験,1.0000,複,0.1339,0.8661,1.000000,20260105_173845
競,C,ACCEPT,競,1.0000,好,0.0876,0.9124,1.000000,20260105_173845
驚,C,ACCEPT,驚,1.0000,口,0.0978,0.9022,1.000000,20260105_173845
観,C,ACCEPT,観,1.0000,議,0.1073,0.8927,1.000000,20260105_173845
類,C,REJECT,類,1.0000,額,1.0000,0.0000,1.000000,20260105_173845
複,C,ACCEPT,複,1.0000,験,0.1339,0.8661,1.000000,20260105_173845
額,C,REJECT,類,1.0000,額,1.0000,0.0000,1.000000,20260105_173845
龍,C,ACCEPT,龍,1.0000,複,0.0995,0.9005,1.000000,20260105_173845
