phase,kanji,role,expected,top1,is_correct,score
2,光,ROLE_ON,コウ,コウ,True,0.009784604356780042
2,光,ROLE_KUN,ひかり,ひかり,True,0.009536988022127723
2,光,ROLE_KANA,ひかり,ひかり,True,0.01018161440520142
2,光,ROLE_GLOSS,light,light,True,0.00986643858200582
2,明,ROLE_ON,メイ,メイ,True,0.010858505302172672
2,明,ROLE_KUN,あかるい,あかるい,True,0.010020872220546151
2,明,ROLE_KANA,あかるい,あかるい,True,0.00964350770504757
2,明,ROLE_GLOSS,light,light,True,0.009449369254716525
2,火,ROLE_ON,カ,カ,True,0.009694703939410947
2,火,ROLE_KUN,ひ,ひ,True,0.010112662134573505
2,火,ROLE_KANA,ひ,ひ,True,0.00975279478073081
2,火,ROLE_GLOSS,fire,fire,True,0.010316118079280057
2,水,ROLE_ON,スイ,スイ,True,0.009561458188773485
2,水,ROLE_KUN,みず,みず,True,0.010167538548299855
2,水,ROLE_KANA,みず,みず,True,0.009557036866100488
2,水,ROLE_GLOSS,water,water,True,0.009745053315909852
2,木,ROLE_ON,モク,モク,True,0.009435261870837756
2,木,ROLE_KUN,き,き,True,0.009919177678140845
2,木,ROLE_KANA,き,き,True,0.01071627694833938
2,木,ROLE_GLOSS,tree,tree,True,0.010399982035454714
2,土,ROLE_ON,ド,ド,True,0.010111751779453457
2,土,ROLE_KUN,つち,つち,True,0.010002665622759626
2,土,ROLE_KANA,つち,つち,True,0.009821062076694448
2,土,ROLE_GLOSS,earth,earth,True,0.009753302257855513
2,空,ROLE_ON,クウ,クウ,True,0.009723941356064948
2,空,ROLE_KUN,そら,そら,True,0.009993648233987656
2,空,ROLE_KANA,そら,そら,True,0.010082236227250158
2,空,ROLE_GLOSS,sky,sky,True,0.009603507787896797
2,山,ROLE_ON,サン,サン,True,0.011092059317560327
2,山,ROLE_KUN,やま,やま,True,0.010038895027899515
2,山,ROLE_KANA,やま,やま,True,0.009689218111241765
2,山,ROLE_GLOSS,mountain,mountain,True,0.009943870675706934
2,川,ROLE_ON,セン,セン,True,0.009855913265841154
2,川,ROLE_KUN,かわ,かわ,True,0.010207339274994108
2,川,ROLE_KANA,かわ,かわ,True,0.009881716571802483
2,川,ROLE_GLOSS,river,river,True,0.009685072244080141
2,海,ROLE_ON,カイ,カイ,True,0.009510453405812708
2,海,ROLE_KUN,うみ,うみ,True,0.010328425189196924
2,海,ROLE_KANA,うみ,うみ,True,0.009439190869746417
2,海,ROLE_GLOSS,sea,sea,True,0.01085525832319503
2,日,ROLE_ON,ニチ,ニチ,True,0.009813172019673657
2,日,ROLE_KUN,ひ,ひ,True,0.009790956429372992
2,日,ROLE_KANA,ひ,ひ,True,0.01054137188243942
2,日,ROLE_GLOSS,sun,sun,True,0.009365641701911044
2,月,ROLE_ON,ゲツ,ゲツ,True,0.00936000224900568
2,月,ROLE_KUN,つき,つき,True,0.010318926239633132
2,月,ROLE_KANA,つき,つき,True,0.010206129229638462
2,月,ROLE_GLOSS,moon,moon,True,0.010243744199776559
2,人,ROLE_ON,ジン,ジン,True,0.009119322262288607
2,人,ROLE_KUN,ひと,ひと,True,0.009879281966376427
2,人,ROLE_KANA,ひと,ひと,True,0.009838399403608582
2,人,ROLE_GLOSS,person,person,True,0.009226996594205844
2,子,ROLE_ON,シ,シ,True,0.00962963172130617
2,子,ROLE_KUN,こ,こ,True,0.009233187314366812
2,子,ROLE_KANA,こ,こ,True,0.00947415214645939
2,子,ROLE_GLOSS,child,child,True,0.009935475984527448
2,学,ROLE_ON,ガク,ガク,True,0.010410406538019643
2,学,ROLE_KUN,まなぶ,まなぶ,True,0.009179776032372865
2,学,ROLE_KANA,まなぶ,まなぶ,True,0.00903477543778253
