phase,query_gloss,target_kanji,found_rank,top1_retrieved_kanji,decoded_kanji_from_top1,success
3,light,光,1,光,光,True
3,light,明,2,光,光,False
3,fire,火,1,火,火,True
3,water,水,1,水,水,True
3,tree,木,1,木,木,True
3,earth,土,1,土,土,True
3,sky,空,1,空,空,True
3,mountain,山,1,山,山,True
3,river,川,1,川,川,True
3,sea,海,1,海,海,True
3,sun,日,1,日,日,True
3,moon,月,1,月,月,True
3,person,人,1,人,人,True
3,child,子,1,子,子,True
3,study,学,1,学,学,True
3,life,生,1,生,生,True
3,eat,食,1,食,食,True
3,drink,飲,1,飲,飲,True
3,see,見,1,見,見,True
3,go,行,1,行,行,True
3,come,来,1,来,来,True
3,enter,入,1,入,入,True
3,exit,出,1,出,出,True
3,big,大,1,大,大,True
3,small,小,1,小,小,True
3,long,長,1,長,長,True
3,high,高,1,高,高,True
3,new,新,1,新,新,True
3,old,古,1,古,古,True
3,early,早,1,早,早,True
3,many,多,1,多,多,True
3,few,少,1,少,少,True
3,up,上,1,上,上,True
3,down,下,1,下,下,True
3,middle,中,1,中,中,True
3,outside,外,1,外,外,True
