Phase,Trial,CharID,Target,Recalled,Score,Success,MemorySize
P1-1,0,0x4e00,一,一,1.0000,True,50
P1-1,1,0x4e00,一,一,1.0000,True,50
P1-1,2,0x4e00,一,一,1.0000,True,50
P1-1,3,0x4e00,一,一,1.0000,True,50
P1-1,4,0x4e00,一,一,1.0000,True,50
P1-1,5,0x4e00,一,一,1.0000,True,50
P1-1,6,0x4e00,一,一,1.0000,True,50
P1-1,7,0x4e00,一,一,1.0000,True,50
P1-1,8,0x4e00,一,一,1.0000,True,50
P1-1,9,0x4e00,一,一,1.0000,True,50
P1-1,0,0x4e01,丁,丁,1.0000,True,50
P1-1,1,0x4e01,丁,丁,1.0000,True,50
P1-1,2,0x4e01,丁,丁,1.0000,True,50
P1-1,3,0x4e01,丁,丁,1.0000,True,50
P1-1,4,0x4e01,丁,丁,1.0000,True,50
P1-1,5,0x4e01,丁,丁,1.0000,True,50
P1-1,6,0x4e01,丁,丁,1.0000,True,50
P1-1,7,0x4e01,丁,丁,1.0000,True,50
P1-1,8,0x4e01,丁,丁,1.0000,True,50
P1-1,9,0x4e01,丁,丁,1.0000,True,50
P1-1,0,0x4e02,丂,丂,1.0000,True,50
P1-1,1,0x4e02,丂,丂,1.0000,True,50
P1-1,2,0x4e02,丂,丂,1.0000,True,50
P1-1,3,0x4e02,丂,丂,1.0000,True,50
P1-1,4,0x4e02,丂,丂,1.0000,True,50
P1-1,5,0x4e02,丂,丂,1.0000,True,50
P1-1,6,0x4e02,丂,丂,1.0000,True,50
P1-1,7,0x4e02,丂,丂,1.0000,True,50
P1-1,8,0x4e02,丂,丂,1.0000,True,50
P1-1,9,0x4e02,丂,丂,1.0000,True,50
P1-1,0,0x4e03,七,七,1.0000,True,50
P1-1,1,0x4e03,七,七,1.0000,True,50
P1-1,2,0x4e03,七,七,1.0000,True,50
P1-1,3,0x4e03,七,七,1.0000,True,50
P1-1,4,0x4e03,七,七,1.0000,True,50
P1-1,5,0x4e03,七,七,1.0000,True,50
P1-1,6,0x4e03,七,七,1.0000,True,50
P1-1,7,0x4e03,七,七,1.0000,True,50
P1-1,8,0x4e03,七,七,1.0000,True,50
P1-1,9,0x4e03,七,七,1.0000,True,50
P1-1,0,0x4e04,丄,丄,1.0000,True,50
P1-1,1,0x4e04,丄,丄,1.0000,True,50
P1-1,2,0x4e04,丄,丄,1.0000,True,50
P1-1,3,0x4e04,丄,丄,1.0000,True,50
P1-1,4,0x4e04,丄,丄,1.0000,True,50
P1-1,5,0x4e04,丄,丄,1.0000,True,50
P1-1,6,0x4e04,丄,丄,1.0000,True,50
P1-1,7,0x4e04,丄,丄,1.0000,True,50
P1-1,8,0x4e04,丄,丄,1.0000,True,50
P1-1,9,0x4e04,丄,丄,1.0000,True,50
P1-1,0,0x4e05,丅,丅,1.0000,True,50
P1-1,1,0x4e05,丅,丅,1.0000,True,50
