number,roman,status,top1,score1,top2,score2,margin,final_norm,flags,timestamp
1,I,SUCCESS,I,1.0000,LI,0.0981,0.9019,1.000000,,20260104_224818
2,II,WARN,II,1.0000,III,1.0000,0.0000,1.000000,P2_LOW_MARGIN,20260104_224818
3,III,WARN,II,1.0000,III,1.0000,0.0000,1.000000,P1_INCORRECT_SYMBOL;P2_LOW_MARGIN,20260104_224818
4,IV,WARN,IV,1.0000,IX,1.0000,0.0000,1.000000,P2_LOW_MARGIN,20260104_224818
5,V,WARN,V,1.0000,VI,1.0000,0.0000,1.000000,P2_LOW_MARGIN,20260104_224818
6,VI,WARN,V,1.0000,VI,1.0000,0.0000,1.000000,P1_INCORRECT_SYMBOL;P2_LOW_MARGIN,20260104_224818
7,VII,WARN,VII,1.0000,VIII,1.0000,0.0000,1.000000,P2_LOW_MARGIN,20260104_224818
8,VIII,WARN,VII,1.0000,VIII,1.0000,0.0000,1.000000,P1_INCORRECT_SYMBOL;P2_LOW_MARGIN,20260104_224818
9,IX,WARN,IV,1.0000,IX,1.0000,0.0000,1.000000,P1_INCORRECT_SYMBOL;P2_LOW_MARGIN,20260104_224818
10,X,SUCCESS,X,1.0000,XII,0.1220,0.8780,1.000000,,20260104_224818
11,XI,SUCCESS,XI,1.0000,XVII,0.1414,0.8586,1.000000,,20260104_224818
12,XII,WARN,XII,1.0000,XIII,1.0000,0.0000,1.000000,P2_LOW_MARGIN,20260104_224818
13,XIII,WARN,XII,1.0000,XIII,1.0000,0.0000,1.000000,P1_INCORRECT_SYMBOL;P2_LOW_MARGIN,20260104_224818
14,XIV,WARN,XIV,1.0000,XIX,1.0000,0.0000,1.000000,P2_LOW_MARGIN,20260104_224818
15,XV,WARN,XV,1.0000,XVI,1.0000,0.0000,1.000000,P2_LOW_MARGIN,20260104_224818
16,XVI,WARN,XV,1.0000,XVI,1.0000,0.0000,1.000000,P1_INCORRECT_SYMBOL;P2_LOW_MARGIN,20260104_224818
17,XVII,WARN,XVII,1.0000,XVIII,1.0000,0.0000,1.000000,P2_LOW_MARGIN,20260104_224818
18,XVIII,WARN,XVII,1.0000,XVIII,1.0000,0.0000,1.000000,P1_INCORRECT_SYMBOL;P2_LOW_MARGIN,20260104_224818
19,XIX,WARN,XIV,1.0000,XIX,1.0000,0.0000,1.000000,P1_INCORRECT_SYMBOL;P2_LOW_MARGIN,20260104_224818
20,XX,WARN,XX,1.0000,XXX,1.0000,0.0000,1.000000,P2_LOW_MARGIN,20260104_224818
