run_id,timestamp,variant_dim,length_L,seq_id,target_seq,pred_seq,exact_match,edit_dist,near_miss,avg_margin,min_margin,valid_margin_pct,status
RUN_256_2_SEQ_2_0000,20260105_073759,256,2,SEQ_2_0000,UD,UD,1,0,0,0.034253,0.029405,1.00,PASS
RUN_256_2_SEQ_2_0001,20260105_073759,256,2,SEQ_2_0001,AX,AX,1,0,0,0.036875,0.031718,1.00,PASS
RUN_256_2_SEQ_2_0002,20260105_073759,256,2,SEQ_2_0002,IH,IH,1,0,0,0.033653,0.031797,1.00,PASS
RUN_256_2_SEQ_2_0003,20260105_073759,256,2,SEQ_2_0003,HE,HE,1,0,0,0.031282,0.029640,1.00,PASS
RUN_256_2_SEQ_2_0004,20260105_073759,256,2,SEQ_2_0004,XD,XD,1,0,0,0.033531,0.032631,1.00,PASS
RUN_256_2_SEQ_2_0005,20260105_073759,256,2,SEQ_2_0005,VX,VX,1,0,0,0.035981,0.034631,1.00,PASS
RUN_256_2_SEQ_2_0006,20260105_073759,256,2,SEQ_2_0006,RC,RC,1,0,0,0.032118,0.031633,1.00,PASS
RUN_256_2_SEQ_2_0007,20260105_073759,256,2,SEQ_2_0007,SN,SN,1,0,0,0.034671,0.034633,1.00,PASS
RUN_256_2_SEQ_2_0008,20260105_073759,256,2,SEQ_2_0008,BA,BA,1,0,0,0.031101,0.029525,1.00,PASS
RUN_256_2_SEQ_2_0009,20260105_073759,256,2,SEQ_2_0009,CG,CG,1,0,0,0.035337,0.029782,1.00,PASS
RUN_256_2_SEQ_2_0010,20260105_073759,256,2,SEQ_2_0010,HQ,HQ,1,0,0,0.035299,0.034999,1.00,PASS
RUN_256_2_SEQ_2_0011,20260105_073759,256,2,SEQ_2_0011,TA,TA,1,0,0,0.036502,0.030736,1.00,PASS
RUN_256_2_SEQ_2_0012,20260105_073759,256,2,SEQ_2_0012,RG,RG,1,0,0,0.038655,0.038363,1.00,PASS
RUN_256_2_SEQ_2_0013,20260105_073759,256,2,SEQ_2_0013,WU,WU,1,0,0,0.034396,0.032265,1.00,PASS
RUN_256_2_SEQ_2_0014,20260105_073759,256,2,SEQ_2_0014,WR,WR,1,0,0,0.037248,0.035317,1.00,PASS
RUN_256_2_SEQ_2_0015,20260105_073759,256,2,SEQ_2_0015,NH,NH,1,0,0,0.028907,0.026107,1.00,PASS
RUN_256_2_SEQ_2_0016,20260105_073759,256,2,SEQ_2_0016,OS,OS,1,0,0,0.033662,0.029835,1.00,PASS
RUN_256_2_SEQ_2_0017,20260105_073759,256,2,SEQ_2_0017,IZ,IZ,1,0,0,0.030325,0.028491,1.00,PASS
RUN_256_2_SEQ_2_0018,20260105_073759,256,2,SEQ_2_0018,AY,AY,1,0,0,0.039212,0.036738,1.00,PASS
RUN_256_2_SEQ_2_0019,20260105_073759,256,2,SEQ_2_0019,ZF,ZF,1,0,0,0.035859,0.035591,1.00,PASS
RUN_256_2_SEQ_2_0020,20260105_073759,256,2,SEQ_2_0020,WN,WN,1,0,0,0.035408,0.034461,1.00,PASS
RUN_256_2_SEQ_2_0021,20260105_073759,256,2,SEQ_2_0021,KI,KI,1,0,0,0.030661,0.030482,1.00,PASS
RUN_256_2_SEQ_2_0022,20260105_073759,256,2,SEQ_2_0022,EG,EG,1,0,0,0.037440,0.033751,1.00,PASS
RUN_256_2_SEQ_2_0023,20260105_073759,256,2,SEQ_2_0023,YK,YK,1,0,0,0.031147,0.028394,1.00,PASS
RUN_256_2_SEQ_2_0024,20260105_073759,256,2,SEQ_2_0024,DC,DC,1,0,0,0.032420,0.031064,1.00,PASS
RUN_256_2_SEQ_2_0025,20260105_073759,256,2,SEQ_2_0025,MD,MD,1,0,0,0.040629,0.035817,1.00,PASS
RUN_256_2_SEQ_2_0026,20260105_073759,256,2,SEQ_2_0026,LL,LL,1,0,0,0.032076,0.030979,1.00,PASS
RUN_256_2_SEQ_2_0027,20260105_073759,256,2,SEQ_2_0027,TI,TI,1,0,0,0.034365,0.028141,1.00,PASS
RUN_256_2_SEQ_2_0028,20260105_073759,256,2,SEQ_2_0028,ZB,ZB,1,0,0,0.034301,0.031832,1.00,PASS
RUN_256_2_SEQ_2_0029,20260105_073759,256,2,SEQ_2_0029,XO,XO,1,0,0,0.033936,0.029873,1.00,PASS
RUN_256_2_SEQ_2_0030,20260105_073759,256,2,SEQ_2_0030,RD,RD,1,0,0,0.037313,0.036663,1.00,PASS
RUN_256_2_SEQ_2_0031,20260105_073759,256,2,SEQ_2_0031,MC,MC,1,0,0,0.039228,0.031282,1.00,PASS
RUN_256_2_SEQ_2_0032,20260105_073759,256,2,SEQ_2_0032,RJ,RJ,1,0,0,0.037752,0.036968,1.00,PASS
RUN_256_2_SEQ_2_0033,20260105_073759,256,2,SEQ_2_0033,UT,UT,1,0,0,0.038074,0.037757,1.00,PASS
RUN_256_2_SEQ_2_0034,20260105_073759,256,2,SEQ_2_0034,LS,LS,1,0,0,0.035717,0.033018,1.00,PASS
RUN_256_2_SEQ_2_0035,20260105_073759,256,2,SEQ_2_0035,GW,GW,1,0,0,0.037024,0.031721,1.00,PASS
RUN_256_2_SEQ_2_0036,20260105_073759,256,2,SEQ_2_0036,CB,CB,1,0,0,0.027669,0.027188,1.00,PASS
RUN_256_2_SEQ_2_0037,20260105_073759,256,2,SEQ_2_0037,VH,VH,1,0,0,0.035559,0.033364,1.00,PASS
RUN_256_2_SEQ_2_0038,20260105_073759,256,2,SEQ_2_0038,YJ,YJ,1,0,0,0.034505,0.030042,1.00,PASS
RUN_256_2_SEQ_2_0039,20260105_073759,256,2,SEQ_2_0039,CH,CH,1,0,0,0.036002,0.032800,1.00,PASS
RUN_256_2_SEQ_2_0040,20260105_073759,256,2,SEQ_2_0040,DM,DM,1,0,0,0.037837,0.035793,1.00,PASS
RUN_256_2_SEQ_2_0041,20260105_073759,256,2,SEQ_2_0041,IO,IO,1,0,0,0.031440,0.031187,1.00,PASS
RUN_256_2_SEQ_2_0042,20260105_073759,256,2,SEQ_2_0042,UL,UL,1,0,0,0.034942,0.029478,1.00,PASS
RUN_256_2_SEQ_2_0043,20260105_073759,256,2,SEQ_2_0043,FL,FL,1,0,0,0.035628,0.034747,1.00,PASS
RUN_256_2_SEQ_2_0044,20260105_073759,256,2,SEQ_2_0044,LG,LG,1,0,0,0.034283,0.030883,1.00,PASS
RUN_256_2_SEQ_2_0045,20260105_073759,256,2,SEQ_2_0045,VI,VI,1,0,0,0.035347,0.030588,1.00,PASS
RUN_256_2_SEQ_2_0046,20260105_073759,256,2,SEQ_2_0046,WV,WV,1,0,0,0.034626,0.034598,1.00,PASS
