length,target,predicted,match,margin,error_type,top5_scores
2,I6,I6,1,0.000000,NONE,I6:1.0000;6I:1.0000;J=:0.0658;F=:0.0559;2/:0.0536
2,=K,=K,1,0.000000,NONE,=K:1.0000;K=:1.0000;=Z:0.0445;*K:0.0445;3T:0.0444
2,M0,M0,1,0.000000,NONE,M0:1.0000;0M:1.0000;F5:0.0548;1D:0.0459;4M:0.0347
2,4-,4-,1,0.000000,NONE,4-:1.0000;-4:1.0000;-6:0.0520;=3:0.0439;/4:0.0430
2,+2,+2,1,0.000000,NONE,+2:1.0000;2+:1.0000;+0:0.0586;7/:0.0473;F=:0.0434
2,6F,6F,1,0.000000,NONE,6F:1.0000;F6:1.0000;C7:0.0610;O=:0.0542;/5:0.0501
2,=E,=E,1,0.000000,NONE,=E:1.0000;E=:1.0000;=2:0.0474;-6:0.0474;8-:0.0459
2,+6,+6,1,0.000000,NONE,+6:1.0000;6+:1.0000;=0:0.0657;=7:0.0525;#L:0.0476
2,H8,H8,1,0.000000,NONE,H8:1.0000;8H:1.0000;J6:0.0526;W9:0.0469;A=:0.0447
2,#H,#H,1,0.000000,NONE,#H:1.0000;H#:1.0000;W#:0.0538;#K:0.0513;#P:0.0475
2,7B,7B,1,0.000000,NONE,7B:1.0000;B7:1.0000;5L:0.0629;/I:0.0492;6=:0.0490
2,7=,7=,1,0.000000,NONE,7=:1.0000;=7:1.0000;9#:0.0647;#9:0.0647;0+:0.0570
2,2L,2L,1,0.000000,NONE,2L:1.0000;L2:1.0000;M2:0.0580;6N:0.0541;X/:0.0510
2,Y*,Y*,1,0.000000,NONE,Y*:1.0000;*Y:1.0000;T2:0.0533;/S:0.0488;Z-:0.0396
2,6F,6F,1,0.000000,NONE,6F:1.0000;F6:1.0000;D6:0.0931;/F:0.0543;I6:0.0472
2,=M,=M,1,0.000000,NONE,=M:1.0000;M=:1.0000;6Q:0.0679;/J:0.0461;8+:0.0365
2,G+,G+,1,0.000000,NONE,G+:1.0000;+G:1.0000;4#:0.0686;3P:0.0630;0+:0.0518
2,9Z,9Z,1,0.000000,NONE,9Z:1.0000;Z9:1.0000;4P:0.0428;L*:0.0390;F1:0.0382
2,M6,6M,0,0.000000,STRUCTURAL_CONFUSION,6M:1.0000;M6:1.0000;Y8:0.0669;A9:0.0501;S0:0.0424
2,J1,J1,1,0.000000,NONE,J1:1.0000;1J:1.0000;/1:0.0577;1-:0.0511;*5:0.0479
2,+8,+8,1,0.000000,NONE,+8:1.0000;8+:1.0000;1F:0.0570;B=:0.0462;1Y:0.0417
2,G+,G+,1,0.000000,NONE,G+:1.0000;+G:1.0000;4#:0.0686;#6:0.0422;F*:0.0376
2,7F,F7,0,0.000000,STRUCTURAL_CONFUSION,F7:1.0000;7F:1.0000;4O:0.0566;L9:0.0558;+H:0.0531
2,5U,5U,1,0.000000,NONE,5U:1.0000;U5:1.0000;0B:0.0551;0#:0.0455;I=:0.0453
2,=2,=2,1,0.000000,NONE,=2:1.0000;2=:1.0000;2C:0.1007;=G:0.0626;=Y:0.0595
2,=3,=3,1,0.000000,NONE,=3:1.0000;3=:1.0000;A*:0.0571;*Z:0.0510;8K:0.0501
2,0*,0*,1,0.000000,NONE,0*:1.0000;*0:1.0000;4#:0.0624;0#:0.0512;*5:0.0491
2,3-,3-,1,0.000000,NONE,3-:1.0000;-3:1.0000;*3:0.0577;7#:0.0492;#7:0.0492
2,2X,2X,1,0.000000,NONE,2X:1.0000;X2:1.0000;H2:0.0619;9B:0.0503;=9:0.0481
2,W-,W-,1,0.000000,NONE,W-:1.0000;-W:1.0000;-A:0.0686;9T:0.0499;Y=:0.0466
2,X-,X-,1,0.000000,NONE,X-:1.0000;-X:1.0000;B1:0.0625;4K:0.0551;8P:0.0410
2,0#,0#,1,0.000000,NONE,0#:1.0000;#0:1.0000;0*:0.0512;6/:0.0448;7+:0.0345
2,X+,X+,1,0.000000,NONE,X+:1.0000;+X:1.0000;=9:0.0479;V=:0.0404;D/:0.0402
2,+3,+3,1,0.000000,NONE,+3:1.0000;3+:1.0000;9P:0.0387;7P:0.0352;*2:0.0323
